SampleID;CFU/ml;log CFU/ml
R177-E;1490;3.173
R177-F;880;2.944
R178-A;1110;3.045
R178-B;1530;3.185
R178-C;2870;3.458
R178-D;750;2.875
R178-E;890;2.949
R178-F;1060;3.025
R179-A;7023.514648;3.847
R179-B;6559;3.817
R179-C;6807;3.833
R179-D;6528.5;3.815
R179-E;11149;4.047
R179-F;9209.5;3.964
R180-A;1380;3.140
R180-B;350;2.544
R180-C;1950;3.290
R180-D;2350;3.371
R180-E;2980;3.474
R180-F;4770;3.679
R181-A;3860;3.587
R181-B;1130;3.053
R181-C;2040;3.310
R181-D;1260;3.100
R181-E;2640;3.422
R181-F;72388;4.860
R182-A;8177.799316;3.913
R182-B;4725;3.674
R182-C;5170.5;3.714
R182-D;8089.5;3.908
R183-A;1890;3.276
R183-B;5956.5;3.775
R183-C;9258.5;3.967
R183-D;4643;3.667
R183-E;6142;3.788
R183-F;1970;3.294
R184-A;340;2.531
R184-B;2400;3.380
R184-C;1540;3.188
R184-D;860;2.934
R184-E;940;2.973
R184-F;580;2.763
R185-A;10854.5;4.036
R185-B;1130;3.053
R185-C;8000;3.903
R185-D;2970;3.473
R185-E;1110;3.045
R186-A;1890;3.276
R186-B;1970;3.294
R186-C;1090;3.037
R186-D;1250;3.097
R186-E;460;2.663
R187-A;5585;3.747
R187-B;4745;3.676
R187-C;4180;3.621
R187-D;4080;3.611
R187-E;3580;3.554
R188-A;880;2.944
R188-B;11051.5;4.043
R188-C;180;2.255
R188-D;3490;3.543
R188-E;3160;3.500
R188-F;570;2.756
R189-A;1100;3.041
R189-B;31366.5;4.496
R189-C;6267;3.797
R189-D;76000;4.881
R189-E;1670;3.223
R189-F;3250;3.512
R190-A;10437;4.019
R190-B;2630;3.420
R190-C;3140;3.497
R190-D;1840;3.265
R190-E;24685;4.392
R190-F;59000;4.771
R191-A;2010;3.303
R191-B;1560;3.193
R191-C;2160;3.334
R191-D;513614;5.711
R191-E;2600;3.415
R191-F;2420;3.384
R192-A;1960;3.292
R192-B;3080;3.489
R192-C;850;2.929
R192-D;1510;3.179
R192-E;4400.5;3.644
R192-F;2750;3.439
R193-A;2370;3.375
R193-B;3070;3.487
R193-C;3240;3.511
R193-D;16059.5;4.206
R193-E;8448;3.927
R193-F;3310;3.520
R194-A;1250;3.097
R194-B;400;2.602
R194-C;610;2.785
R194-D;380;2.580
R194-E;350;2.544
R195-A;800;2.903
R195-B;800;2.903
R195-C;50000;4.699
R195-D;1160;3.064
R195-E;650;2.813
R195-F;760;2.881
R196-A;1940;3.288
R196-B;2150;3.332
R196-C;1330;3.124
R196-D;10830;4.035
R196-E;4380;3.641
R196-F;3200;3.505
R197-A;1810;3.258
R197-B;12723.5;4.105
R197-C;640;2.806
R197-D;360;2.556
R197-E;750;2.875
R197-F;340;2.531
R198-A;2380;3.377
R198-B;15232;4.183
R198-C;10634;4.027
R198-D;2810;3.449
R198-E;11272;4.052
R198-F;2980;3.474
R199-A;9405.5;3.973
R199-B;6884;3.838
R199-C;13121.5;4.118
R199-D;9479.5;3.977
R199-E;7360;3.867
R199-F;8743;3.942
R200-A;1650;3.217
R200-B;590;2.771
R200-C;300;2.477
R200-D;960;2.982
R200-E;1620;3.210
R200-F;1110;3.045
R201-A;170;2.230
R201-B;920;2.964
R201-C;1600;3.204
R201-D;220;2.342
R201-E;580;2.763
R202-A;650;2.813
R202-B;44000;4.643
R202-C;3020;3.480
R202-D;2290;3.360
R202-E;2250;3.352
R202-F;2720;3.435
